x,y
-450.97,47.34
-441.59,141.09
-441.59,131.71
-441.59,122.34
-441.59,112.96
-441.59,103.59
-441.59,94.21
-441.59,84.84
-441.59,75.46
-441.59,66.09
-441.59,56.71
-441.59,47.34
-432.22,141.09
-432.22,131.71
-432.22,122.34
-432.22,112.96
-432.22,103.59
-432.22,94.21
-432.22,84.84
-432.22,75.46
-432.22,66.09
-432.22,56.71
-432.22,47.34
-422.84,141.09
-422.84,131.71
-422.84,122.34
-422.84,112.96
-422.84,103.59
-422.84,94.21
-422.84,84.84
-422.84,75.46
-422.84,56.71
-422.84,47.34
-255.35,141.09
-263.47,141.09
-272.84,141.09
-282.22,141.09
-291.59,141.09
-300.97,141.09
-310.34,141.09
-319.72,141.09
-329.09,141.09
-338.47,141.09
-347.84,141.09
-357.22,141.09
-366.59,141.09
-375.97,141.09
-385.34,141.09
-394.72,141.09
-404.09,141.09
-413.47,141.09
-255.35,131.71
-263.47,131.71
-272.84,131.71
-282.22,131.71
-291.59,131.71
-300.97,131.71
-310.34,131.71
-319.72,131.71
-329.09,131.71
-338.47,131.71
-347.84,131.71
-357.22,131.71
-366.59,131.71
-375.97,131.71
-385.34,131.71
-394.72,131.71
-404.09,131.71
-413.47,131.71
-255.35,122.34
-263.47,122.34
-272.84,122.34
-282.22,122.34
-291.59,122.34
-300.97,122.34
-310.34,122.34
-338.47,122.34
-347.84,122.34
-357.22,122.34
-366.59,122.34
-375.97,122.34
-385.34,122.34
-394.72,122.34
-404.09,122.34
-413.47,122.34
-255.35,112.96
-263.47,112.96
-272.84,112.96
-282.22,112.96
-291.59,112.96
-300.97,112.96
-310.34,112.96
-338.47,112.96
-347.84,112.96
-357.22,112.96
-366.59,112.96
-375.97,112.96
-385.34,112.96
-394.72,112.96
-404.09,112.96
-413.47,112.96
-255.35,103.59
-263.47,103.59
-272.84,103.59
-282.22,103.59
-291.59,103.59
-300.97,103.59
-310.34,103.59
-319.72,103.59
-329.09,103.59
-338.47,103.59
-347.84,103.59
-357.22,103.59
-366.59,103.59
-375.97,103.59
-385.34,103.59
-394.72,103.59
-404.09,103.59
-413.47,103.59
-255.35,94.21
-263.47,94.21
-272.84,94.21
-282.22,94.21
-291.59,94.21
-300.97,94.21
-310.34,94.21
-319.72,94.21
-329.09,94.21
-338.47,94.21
-347.84,94.21
-357.22,94.21
-366.59,94.21
-375.97,94.21
-385.34,94.21
-394.72,94.21
-404.09,94.21
-413.47,94.21
-255.35,84.84
-263.47,84.84
-272.84,84.84
-282.22,84.84
-291.59,84.84
-300.97,84.84
-310.34,84.84
-319.72,84.84
-329.09,84.84
-338.47,84.84
-347.84,84.84
-357.22,84.84
-366.59,84.84
-375.97,84.84
-385.34,84.84
-394.72,84.84
-404.09,84.84
-413.47,84.84
-255.35,75.46
-263.47,75.46
-272.84,75.46
-282.22,75.46
-291.59,75.46
-300.97,75.46
-310.34,75.46
-319.72,75.46
-329.09,75.46
-338.47,75.46
-347.84,75.46
-357.22,75.46
-366.59,75.46
-375.97,75.46
-385.34,75.46
-394.72,75.46
-404.09,75.46
-413.47,75.46
-255.35,66.09
-263.47,66.09
-272.84,66.09
-282.22,66.09
-291.59,66.09
-300.97,66.09
-310.34,66.09
-319.72,66.09
-329.09,66.09
-338.47,66.09
-366.59,66.09
-375.97,66.09
-385.34,66.09
-394.72,66.09
-404.09,66.09
-413.47,66.09
-255.35,56.71
-263.47,56.71
-272.84,56.71
-282.22,56.71
-291.59,56.71
-300.97,56.71
-310.34,56.71
-319.72,56.71
-329.09,56.71
-338.47,56.71
-366.59,56.71
-375.97,56.71
-385.34,56.71
-394.72,56.71
-404.09,56.71
-413.47,56.71
-255.35,47.34
-263.47,47.34
-272.84,47.34
-282.22,47.34
-291.59,47.34
-300.97,47.34
-310.34,47.34
-319.72,47.34
-329.09,47.34
-338.47,47.34
-347.84,47.34
-357.22,47.34
-366.59,47.34
-375.97,47.34
-385.34,47.34
-394.72,47.34
-404.09,47.34
-413.47,47.34
-255.35,37.96
-263.47,37.96
-272.84,37.96
-282.22,37.96
-291.59,37.96
-300.97,37.96
-310.34,37.96
-319.72,37.96
-329.09,37.96
-338.47,37.96
-347.84,37.96
-357.22,37.96
-366.59,37.96
-375.97,37.96
-385.34,37.96
-394.72,37.96
-404.09,37.96
-413.47,37.96
-255.35,28.59
-263.47,28.59
-161.6,28.59
-170.97,28.59
-180.35,28.59
-189.72,28.59
-199.1,28.59
-208.47,28.59
-217.85,28.59
-227.22,28.59
-236.6,28.59
-245.97,28.59
-272.84,28.59
-282.22,28.59
-291.59,28.59
-300.97,28.59
-310.34,28.59
-319.72,28.59
-329.09,28.59
-338.47,28.59
-347.84,28.59
-357.22,28.59
-366.59,28.59
-375.97,28.59
-385.34,28.59
-394.72,28.59
-404.09,28.59
-413.47,28.59
-255.35,19.21
-263.47,19.21
-161.6,19.21
-170.97,19.21
-180.35,19.21
-189.72,19.21
-199.1,19.21
-208.47,19.21
-217.85,19.21
